Census_Tract,Year,PM2.5,Diabetes,Percent_Black_Only,Percent_American_Indian_and_Alaska_Native_Only,Percent_Hispanic,Education,Linguistic_Isolation,Unemployment,Poverty,latino_bin
6001450744,2014,8.5112,7.2,1.7,0.1,12.2,1.3,4.6,4,4.3,0
6001450745,2014,8.6295996,6.3,0.5,0.2,5.2,2.2,0.3,1.4,0.4,0
6001450746,2014,8.6295996,8.1,1.1,0.1,15.7,3.4,2.1,10.3,6.7,0
6001450752,2014,8.4615202,4.7,4,0.2,6.1,7.7,1.3,2.1,1.6,0
6001451101,2014,8.7563801,6.3,2.3,0.2,11.4,2.6,4.4,5,4.3,0
6001451102,2014,8.7256498,7.8,0.7,0,8,3.6,0,1.8,2.6,0
6001451201,2014,8.3893404,7,3.7,0.3,20.6,3.1,4.6,4.5,5.8,0
6001451202,2014,8.43645,6.6,0.9,0,20.6,5.5,2,6.6,4,0
6001451300,2014,8.43645,7.4,1.7,0,21.7,7.7,3.1,5.4,4,0
6001451401,2014,8.43645,8.3,0.7,0.3,22.1,11.2,8.3,4.8,10.6,0
6001451403,2014,8.43645,8,1,0,23.5,8,6.3,7.3,6.8,0
6001451404,2014,8.7256498,8.6,1.5,0,48.8,27.1,24,7.4,10.7,1
6001451501,2014,8.7563801,7.8,1.6,0,17,9.1,6.1,3.9,3.8,0
6001451503,2014,8.7563801,8.3,0.1,0,25,10.4,5.6,5.2,6.6,0
